# =============================================================================
# PDBbind refined set v2007, 1300 entries, updated on 06/06/2007
# Entries are sorted by pKd(pKi) in an increasing order
# PDB code, resolution, release year, pKd(pKi), Kd(Ki), reference, ligand name
# =============================================================================
1w8l  1.80  2004   0.49  Ki=320mM      // 1w8l.pdf (1P3)
1wkm  2.30  2005   0.82  Ki=150mM      // 1wkm.pdf (MET)
2a31  1.25  2006   1.01  Kd=97mM       // 2a31.pdf (BO4)
1f9g  2.00  2001   1.28  Ki=53mM       // 1f9g.pdf (ASC)
1b74  2.30  2000   1.30  Ki=50mM       // 1b74.pdf (DGN)
1qpb  2.40  2000   1.36  Kd=44mM       // 1qpb.pdf (PYM)
2hdq  2.10  2006   1.40  Ki=40mM       // 2hdq.pdf (C21)
1utp  1.30  2004   1.44  Kd=36mM       // 1utj.pdf (PBN)
1tnk  1.80  1994   1.49  Ki=32.5mM     // 1tnh.pdf (PRA)
1w8m  1.65  2004   1.60  Ki=25mM       // 1w8l.pdf (E1P)
1rdj  1.80  1996   1.66  Ki=21.7mM     // 1rdi.pdf (MFB)
2hdr  2.20  2006   1.72  Ki=19mM       // 2hdq.pdf (4A3)
1u2y  1.95  2004   1.74  Ki=18mM       // 1u2y.pdf (GOX)
1ga8  2.00  2001   1.80  Ki=16mM       // 1g9r.pdf (DEL)
1af6  2.40  1998   1.82  Kd=15mM       // 1af6.pdf (GLC-FRU)
1bra  2.20  1994   1.82  Ki=15000uM    // 1bra.pdf (BEN)
1d5r  2.10  1999   1.82  Ki=15mM       // 1d5r.pdf (TAR)
1y1m  1.80  2005   1.82  Ki=15.3mM     // 1y1m.pdf (AC5)
1rdn  1.80  1996   1.84  Ki=14.4mM     // 1rdi.pdf (MAG)
1tnl  1.90  1994   1.88  Ki=13.3mM     // 1tnh.pdf (TPA)
1f2p  1.80  2001   1.90  Ki=12.7mM     // 1f2o.pdf (PHE)
1f2o  1.70  2001   1.91  Ki=12.4mM     // 1f2o.pdf (LEU)
1tnj  1.80  1994   1.96  Ki=11.0mM     // 1tnh.pdf (PEA)
3pce  2.06  1998   2.00  Ki=10mM       // 3pcb.pdf (3HP)
1jfh  2.03  1998   2.05  Ki=9mM        // 1jfh.pdf (MA2-MA3)
1qq9  1.53  2000   2.06  Ki=8.7mM      // 1qq9.pdf (MET)
1rdi  1.80  1996   2.06  Ki=8.8mM      // 1rdi.pdf (MFU)
1njj  2.45  2003   2.10  Ki=8mM        // 1njj.pdf (GET)
1uxb  1.75  2004   2.15  Kd=7mM        // 1uxa.pdf (SIA-GAL)
4tim  2.40  1992   2.16  Ki=6.9mM      // 4tim.pdf (2PG)
